Date,Open,High,Low,Close,Shares Traded
03-09-2022,16078,16418.05,15990,16345.35,462231428
03-10-2022,16757.1,16757.3,16447.9,16594.9,486445481
03-11-2022,16528.8,16694.4,16470.9,16630.45,343717045
03-14-2022,16633.7,16887.95,16606.5,16871.3,314669685
03-15-2022,16900.65,16927.75,16555,16663,381631902
03-16-2022,16876.65,16987.9,16837.85,16975.35,259973396
03-17-2022,17202.9,17344.6,17175.75,17287.05,448335248
03-21-2022,17329.5,17353.35,17096.4,17117.6,285451208
03-22-2022,17120.4,17334.4,17006.3,17315.5,338263468
03-23-2022,17405.05,17442.4,17199.6,17245.65,292120348
03-24-2022,17094.95,17291.75,17091.15,17222.75,290280124
03-25-2022,17289,17294.9,17076.55,17153,237115741
03-28-2022,17181.85,17235.1,17003.9,17222,253240837
03-29-2022,17297.2,17343.65,17235.7,17325.3,235149625
03-30-2022,17468.15,17522.5,17387.2,17498.25,505031841
03-31-2022,17519.2,17559.8,17435.2,17464.75,281111679
04-01-2022,17436.9,17703.7,17422.7,17670.45,291773447
04-04-2022,17809.1,18114.65,17791.4,18053.4,345526502
04-05-2022,18080.6,18095.45,17921.55,17957.4,283453612
04-06-2022,17842.75,17901,17779.85,17807.65,328824420
04-07-2022,17723.3,17787.5,17623.7,17639.55,308840215
04-08-2022,17698.15,17842.75,17600.55,17784.35,274447433
04-11-2022,17740.9,17779.05,17650.95,17674.95,251701846
04-12-2022,17584.85,17595.3,17442.35,17530.3,266029060
04-13-2022,17599.9,17663.65,17457.4,17475.65,245061941
04-18-2022,17183.45,17237.75,17067.85,17173.65,376130248
04-19-2022,17258.95,17275.65,16824.7,16958.65,401399563
04-20-2022,17045.25,17186.9,16978.95,17136.55,286069736
04-21-2022,17234.6,17414.7,17215.5,17392.6,285200022
04-22-2022,17242.75,17315.3,17149.2,17171.95,262739740
04-25-2022,17009.05,17054.3,16888.7,16953.95,275685925
